Item Name,Price (₹),Category,Veg/Non-Veg,Description
Paneer Tikka,240,Tandoori Delights,Veg,
Paneer Haryali Tikka,280,Tandoori Delights,Veg,
Tandoori Prawn,430,Tandoori Delights,Non-Veg,

Tandoori Roti,25,Breads,Veg,
Tandoori Butter Roti,35,Breads,Veg,
Plain Naan,40,Breads,Veg,
Butter Naan,45,Breads,Veg,
Garlic Naan,60,Breads,Veg,
Aloo Paratha,70,Breads,Veg,
Paneer Masala Kulcha,70,Breads,Veg,
Lachcha Paratha,45,Breads,Veg,
Chicken Keema Kulcha,80,Breads,Non-Veg,
Mutton Keema Kulcha,110,Breads,Non-Veg,
Onion Kulcha,55,Breads,Veg,
Masala Kulcha,65,Breads,Veg,

Potato Chilli,120,Appetizers & Gravy,Veg,
Veg Manchurian,145,Appetizers & Gravy,Veg,
Paneer Manchurian,180,Appetizers & Gravy,Veg,
Chilli Egg Gravy,140,Appetizers & Gravy,Non-Veg,
Chicken Manchurian,175,Appetizers & Gravy,Non-Veg,
Chilli Chicken Gravy,180,Appetizers & Gravy,Non-Veg,
Garlic Chicken,170,Appetizers & Gravy,Non-Veg,
Lemon Chicken,190,Appetizers & Gravy,Non-Veg,
Chilli Paneer Gravy,195,Appetizers & Gravy,Veg,
Chilli Mushroom Gravy,210,Appetizers & Gravy,Veg,
Chilli Fish Gravy,240,Appetizers & Gravy,Non-Veg,
Fish Manchurian,230,Appetizers & Gravy,Non-Veg,
Chilli Prawns Gravy,275,Appetizers & Gravy,Non-Veg,
Prawn Manchurian,270,Appetizers & Gravy,Non-Veg,
Garlic Prawn,280,Appetizers & Gravy,Non-Veg,
Prawn Schezwan,270,Appetizers & Gravy,Non-Veg,

Veg Noodles,90,Noodles,Veg,
Veg Gravy Noodles,155,Noodles,Veg,
Veg Schezwan Noodles,160,Noodles,Veg,
Veg American Chop-Suey,145,Noodles,Veg,
Egg Noodles,110,Noodles,Non-Veg,
Chicken Noodles,145,Noodles,Non-Veg,
Non-Veg Gravy Noodles,170,Noodles,Non-Veg,
Non-Veg Schezwan Noodles,175,Noodles,Non-Veg,
Mixed Noodles,160,Noodles,Non-Veg,
Non-Veg American Chop-Suey,190,Noodles,Non-Veg,

Vegetable Biryani,135,Biryani,Veg,
Egg Biryani,145,Biryani,Non-Veg,
Chicken Biryani,155,Biryani,Non-Veg,
Mutton Biryani (2 pcs),255,Biryani,Non-Veg,

Classic Cold Coffee (Plain),90,Coffee & Beverages,Veg,
Classic Cold Coffee with Ice Cream,110,Coffee & Beverages,Veg,
Hot Coffee,45,Coffee & Beverages,Veg,
Black Coffee,40,Coffee & Beverages,Veg,

Sweet Lassi,55,Lassi,Veg,
Salted Lassi,55,Lassi,Veg,

Masala Cold Drink,65,Cold Drinks,Veg,
Cold Drink (200ml),30,Cold Drinks,Veg,
